Name,ReleaseDate,Genre,Rating
English Vinglish,2012,"Comedy, Drama, Family",7.8/10
OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",8.1/10
Fashion,2008,Drama,6.9/10
Barfi!,2012,"Comedy, Drama, Romance",8.1/10
Gol Maal,1979,"Comedy, Romance",8.6/10
Kahaani,2012,"Mystery, Thriller",8.1/10
"Swades: We, the People",2004,Drama,8.2/10
Lamhe,1991,"Drama, Musical, Romance",7.4/10
Corporate,2006,Drama,6.5/10
The Dirty Picture,2011,"Biography, Drama",6.6/10
Chandni Bar,2001,"Crime, Drama",7.6/10
Salaam Bombay!,1988,"Crime, Drama",8.0/10
Chak De! India,2007,"Drama, Family, Sport",8.2/10
Half Ticket,1962,"Musical, Comedy, Romance",7.4/10
Vicky Donor,2012,"Comedy, Romance",7.8/10
Nagina,1986,"Fantasy, Romance",6.6/10
Fire,1996,"Drama, Romance",7.2/10
Makdee,2002,"Comedy, Fantasy, Horror",7.4/10
The Blue Umbrella,2005,"Comedy, Drama, Family",7.5/10
Stanley Ka Dabba,2011,"Comedy, Drama, Family",7.8/10
Zindagi Na Milegi Dobara,2011,"Comedy, Drama",8.1/10
Ek Hasina Thi,2004,"Crime, Drama, Mystery",7.6/10
Sholay,1975,"Action, Adventure, Comedy",8.2/10
Mera Saaya,1966,"Drama, Musical, Mystery",7.6/10
Chandni,1989,"Drama, Musical, Romance",6.8/10
3 Deewarein,2003,"Crime, Drama",7.8/10
Dor,2006,Drama,7.9/10
100 Days,1991,"Horror, Romance, Thriller",6.5/10
Hera Pheri,2000,"Action, Comedy, Crime",8.2/10
Bandit Queen,1994,"Biography, Crime, Drama",7.6/10
Kaun?,1999,"Mystery, Thriller",7.8/10
Kaalapani,1996,"Action, Drama, History",8.4/10
Ek Ruka Hua Faisla,1986 TV Movie,Drama,8.3/10
Do Bigha Zamin,1953,Drama,8.4/10
Gangaajal,2003,"Action, Crime, Drama",7.8/10
Raincoat,2004,"Drama, Romance",7.6/10
404: Error Not Found,2011,"Drama, Mystery, Thriller",7.3/10
The Legend of Bhagat Singh,2002,"Action, Biography, Drama",8.1/10
Rann,2010,"Drama, Mystery, Thriller",6.9/10
Udaan,2010,Drama,8.2/10
